concept,photo,distractQ,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,condition,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,ins.started,ins.stopped,con1.started,con1.stopped,text.started,text.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,text_3.started,text_3.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,text_5.started,text_5.stopped,text_6.started,text_6.stopped,participant,condition,date,expName,psychopyVersion,frameRate,
bear,bear1.jpg,49 x 43 =,,,,,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1153,df_e1,2021.1.2,59.95197978360542,
tree,tree1.jpg,9 x 54 =,,,,,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1153,df_e1,2021.1.2,59.95197978360542,
bird,bird3.jpg,17 x 87 =,,,,,0,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1153,df_e1,2021.1.2,59.95197978360542,
chairs,chairs2.jpg,13 x 47 =,,,,,0,5,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1153,df_e1,2021.1.2,59.95197978360542,
horse,horse2.jpg,18 x 61 =,,,,,0,6,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1153,df_e1,2021.1.2,59.95197978360542,
lion,lion1.jpg,11 x 83 =,,,,,0,7,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1153,df_e1,2021.1.2,59.95197978360542,
banana,banana1.jpg,84 x 54 =,,,,,0,8,8,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1153,df_e1,2021.1.2,59.95197978360542,
rabbit,rabbit1.jpg,25 x 88 =,,,,,0,9,9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1153,df_e1,2021.1.2,59.95197978360542,
alligator,alligator1.jpg,47 x 24 =,,,,,0,10,10,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1153,df_e1,2021.1.2,59.95197978360542,
elephant,elephant3.jpg,51 x 65 =,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1153,df_e1,2021.1.2,59.95197978360542,
camel,camel1.jpg,44 x 84 =,,,,,0,12,12,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1153,df_e1,2021.1.2,59.95197978360542,
strawberries,strawberries4.jpg,14 x 38 =,,,,,0,13,13,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1153,df_e1,2021.1.2,59.95197978360542,
pineapple,pineapple1.jpg,44 x 75 =,,,,,0,14,14,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1153,df_e1,2021.1.2,59.95197978360542,
turtle,turtle3.jpg,80 x 11 =,,,,,0,15,15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1153,df_e1,2021.1.2,59.95197978360542,
carrots,carrots1.jpg,44 x 4 =,,,,,,,,,0,0,0,29,,,,,,,,,,,,,,,,,,,,,,return,123.64928584500012,19.89399429600053,None,19.89399429600053,None,19.89399429600053,None,,,2021_Mar_08_1153,df_e1,2021.1.2,59.95197978360542,
bear,bear1.jpg,49 x 43 =,,,,,,,,,0,1,1,4,,,,,,,,,,,,,,,,,,,,,,return,1.3497007549995033,143.5818636010008,None,143.5818636010008,None,143.5818636010008,None,,,2021_Mar_08_1153,df_e1,2021.1.2,59.95197978360542,
cat,cat1.jpg,77 x 21 =,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,return,0.9019246400002885,144.96004381100101,None,144.96004381100101,None,144.96004381100101,None,,,2021_Mar_08_1153,df_e1,2021.1.2,59.95197978360542,
