concept,photo,distractQ,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,condition,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,ins.started,ins.stopped,con1.started,con1.stopped,text.started,text.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,text_3.started,text_3.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,text_5.started,text_5.stopped,text_6.started,text_6.stopped,participant,condition,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,space,0.41221289900022384,13.44063737200122,None,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1153,df_e1,2021.1.2,59.95197978360542,
,,,,,,,,,,,,,,,,,,,,11.449466208001468,None,13.44063737200122,None,13.877672892000191,None,space,1.4834095830010483,15.856994893001684,None,,,,,,,,,,,,,,,,,2021_Mar_08_1153,df_e1,2021.1.2,59.95197978360542,
bench,bench1.jpg,18 x 74 =,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1153,df_e1,2021.1.2,59.95197978360542,
fox,fox1.jpg,74 x 57 =,0,1,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1153,df_e1,2021.1.2,59.95197978360542,
bike,bike3.jpg,25 x 17 =,0,2,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1153,df_e1,2021.1.2,59.95197978360542,
cat,cat1.jpg,77 x 21 =,0,3,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1153,df_e1,2021.1.2,59.95197978360542,
grapes,grapes1.jpg,37 x 63 =,0,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1153,df_e1,2021.1.2,59.95197978360542,
pie,pie1.jpg,82 x 31 =,0,5,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1153,df_e1,2021.1.2,59.95197978360542,
carrots,carrots1.jpg,44 x 4 =,0,6,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1153,df_e1,2021.1.2,59.95197978360542,
apples,apples4.jpg,68 x 47 =,0,7,7,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1153,df_e1,2021.1.2,59.95197978360542,
bridge,bridge1.jpg,94 x 64 =,0,8,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1153,df_e1,2021.1.2,59.95197978360542,
whale,whale1.jpg,5 x 57 =,0,9,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1153,df_e1,2021.1.2,59.95197978360542,
leaves,leaves1.jpg,87 x 7 =,0,10,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1153,df_e1,2021.1.2,59.95197978360542,
phone,phone1.jpg,86 x 12 =,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1153,df_e1,2021.1.2,59.95197978360542,
frog,frog1.jpg,63 x 58 =,0,12,12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1153,df_e1,2021.1.2,59.95197978360542,
mouse,mouse2.jpg,26 x 23 =,0,13,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1153,df_e1,2021.1.2,59.95197978360542,
book,book1.jpg,9 x 22 =,0,14,14,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1153,df_e1,2021.1.2,59.95197978360542,
train,train1.jpg,96 x 22 =,0,15,15,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1153,df_e1,2021.1.2,59.95197978360542,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.38035593099994,None,space,0.43522306900013064,19.373968876001527,None,,,,,,,,,,,2021_Mar_08_1153,df_e1,2021.1.2,59.95197978360542,
car,car1.jpg,77 x 21 =,,,,,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1153,df_e1,2021.1.2,59.95197978360542,
fish,fish3.jpg,16 x 12 =,,,,,0,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1153,df_e1,2021.1.2,59.95197978360542,
