Lang_Select.keys,Lang_Select.rt,welcomeResp.keys,welcomeResp.rt,choice.keys,choice.rt,responseRepeat.keys,responseRepeat.rt,t1,t2,sequence,Status,Step56,Step40,time_durations.thisRepN,time_durations.thisTrialN,time_durations.thisN,time_durations.thisIndex,time_durations.ran,Email,date,expName,psychopyVersion,OS,frameRate
2,1.43,space,0.932,2,0.399,space,1.147,5.6,4,56,down,0,0,0,0,0,0,1,aa,2021-03-24_21h26.38.966,time_perception_2Phases_ENRU,2021.1.3,Linux x86_64,60
,,,,1,0.99,space,1.223,6,3.6,56,up,1,0,1,0,1,0,1,aa,2021-03-24_21h26.38.966,time_perception_2Phases_ENRU,2021.1.3,Linux x86_64,60
,,,,1,1.568,space,0.782,4,5.6,40,up,2,0,2,0,2,0,1,aa,2021-03-24_21h26.38.966,time_perception_2Phases_ENRU,2021.1.3,Linux x86_64,60
,,,,2,1.224,space,7.994,3.6,6,40,down,2,1,3,0,3,0,1,aa,2021-03-24_21h26.38.966,time_perception_2Phases_ENRU,2021.1.3,Linux x86_64,60
,,,,2,0.533,space,0.954,4,5.6,40,up,2,2,4,0,4,0,1,aa,2021-03-24_21h26.38.966,time_perception_2Phases_ENRU,2021.1.3,Linux x86_64,60
,,,,1,0.698,space,5.243,5.6,4,56,down,2,2,5,0,5,0,1,aa,2021-03-24_21h26.38.966,time_perception_2Phases_ENRU,2021.1.3,Linux x86_64,60
,,,,2,6.72,space,0.558,5.2,4.4,56,down,2,2,6,0,6,0,1,aa,2021-03-24_21h26.38.966,time_perception_2Phases_ENRU,2021.1.3,Linux x86_64,60
,,,,2,1.608,space,12.711,5.6,4,56,up,3,2,7,0,7,0,1,aa,2021-03-24_21h26.38.966,time_perception_2Phases_ENRU,2021.1.3,Linux x86_64,60
,,,,2,3.242,space,1.286,6,3.6,56,up,3,2,8,0,8,0,1,aa,2021-03-24_21h26.38.966,time_perception_2Phases_ENRU,2021.1.3,Linux x86_64,60
,,,,2,1.099,space,0.809,6.4,3.2,56,up,3,2,9,0,9,0,1,aa,2021-03-24_21h26.38.966,time_perception_2Phases_ENRU,2021.1.3,Linux x86_64,60
,,,,2,1.372,space,0.922,4.4,5.2,40,up,3,2,10,0,10,0,1,aa,2021-03-24_21h26.38.966,time_perception_2Phases_ENRU,2021.1.3,Linux x86_64,60
,,,,2,1.378,space,1.121,4.8,4.8,40,up,3,2,11,0,11,0,1,aa,2021-03-24_21h26.38.966,time_perception_2Phases_ENRU,2021.1.3,Linux x86_64,60
,,,,2,1.73,space,0.909,5.2,4.4,40,up,3,2,12,0,12,0,1,aa,2021-03-24_21h26.38.966,time_perception_2Phases_ENRU,2021.1.3,Linux x86_64,60
