concept,photo,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,condition,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,ins.started,ins.stopped,con1.started,con1.stopped,text.started,text.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,text_3.started,text_3.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,textbox.text,participant,condition,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,space,0.3404968800023198,12.58833171799779,None,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1707,df_e1,2021.1.2,60.319421633263524,
,,,,,,,,,,,,,,,10.60955134301912,None,12.58833171799779,None,12.959979475010186,None,space,0.545090130995959,14.938248898019083,None,,,,,,,,,,,,,,,,2021_Mar_04_1707,df_e1,2021.1.2,60.319421633263524,
fish,fish3.jpg,0,0,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1707,df_e1,2021.1.2,60.319421633263524,
cat,cat1.jpg,0,1,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1707,df_e1,2021.1.2,60.319421633263524,
bike,bike3.jpg,0,2,2,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1707,df_e1,2021.1.2,60.319421633263524,
horse,horse2.jpg,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1707,df_e1,2021.1.2,60.319421633263524,
banana,banana1.jpg,0,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1707,df_e1,2021.1.2,60.319421633263524,
bridge,bridge1.jpg,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1707,df_e1,2021.1.2,60.319421633263524,
camel,camel1.jpg,0,6,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1707,df_e1,2021.1.2,60.319421633263524,
pineapple,pineapple1.jpg,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1707,df_e1,2021.1.2,60.319421633263524,
