concept,photo,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,condition,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,ins.started,ins.stopped,con1.started,con1.stopped,text.started,text.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,text_3.started,text_3.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,textbox.text,participant,condition,date,expName,psychopyVersion,frameRate,
chairs,chairs2.jpg,0,8,8,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1707,df_e1,2021.1.2,60.319421633263524,
strawberries,strawberries4.jpg,0,9,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1707,df_e1,2021.1.2,60.319421633263524,
mouse,mouse2.jpg,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1707,df_e1,2021.1.2,60.319421633263524,
fox,fox1.jpg,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1707,df_e1,2021.1.2,60.319421633263524,
carrots,carrots1.jpg,0,12,12,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1707,df_e1,2021.1.2,60.319421633263524,
apples,apples4.jpg,0,13,13,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1707,df_e1,2021.1.2,60.319421633263524,
lion,lion1.jpg,0,14,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1707,df_e1,2021.1.2,60.319421633263524,
train,train1.jpg,0,15,15,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1707,df_e1,2021.1.2,60.319421633263524,
,,,,,,,,,,,,,,,,,,,,,,,,,15.524335557012819,None,space,0.36688372399657965,17.504201753996313,None,,,,,,,,,,2021_Mar_04_1707,df_e1,2021.1.2,60.319421633263524,
bear,bear1.jpg,,,,,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1707,df_e1,2021.1.2,60.319421633263524,
rabbit,rabbit1.jpg,,,,,0,1,1,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1707,df_e1,2021.1.2,60.319421633263524,
leaves,leaves1.jpg,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1707,df_e1,2021.1.2,60.319421633263524,
alligator,alligator1.jpg,,,,,0,3,3,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1707,df_e1,2021.1.2,60.319421633263524,
bird,bird3.jpg,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1707,df_e1,2021.1.2,60.319421633263524,
whale,whale1.jpg,,,,,0,5,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1707,df_e1,2021.1.2,60.319421633263524,
turtle,turtle3.jpg,,,,,0,6,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1707,df_e1,2021.1.2,60.319421633263524,
book,book1.jpg,,,,,0,7,7,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1707,df_e1,2021.1.2,60.319421633263524,
elephant,elephant3.jpg,,,,,0,8,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1707,df_e1,2021.1.2,60.319421633263524,
tree,tree1.jpg,,,,,0,9,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1707,df_e1,2021.1.2,60.319421633263524,
phone,phone1.jpg,,,,,0,10,10,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1707,df_e1,2021.1.2,60.319421633263524,
frog,frog1.jpg,,,,,0,11,11,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1707,df_e1,2021.1.2,60.319421633263524,
bench,bench1.jpg,,,,,0,12,12,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1707,df_e1,2021.1.2,60.319421633263524,
grapes,grapes1.jpg,,,,,0,13,13,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1707,df_e1,2021.1.2,60.319421633263524,
pie,pie1.jpg,,,,,0,14,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1707,df_e1,2021.1.2,60.319421633263524,
car,car1.jpg,,,,,0,15,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1707,df_e1,2021.1.2,60.319421633263524,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.904659093008377,None,space,0.26505012705456465,19.88752569106873,None,,,,2021_Mar_04_1707,df_e1,2021.1.2,60.319421633263524,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," fdgfs
fsdhjfhs
fgsdjhfgs
fsgdfj
fsdj
fshdkj",,,,,,,
