concept,photo,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,condition,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,ins.started,ins.stopped,con1.started,con1.stopped,text.started,text.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,text_3.started,text_3.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,textbox.text,participant,condition,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,space,1.250219922978431,13.265880887047388,None,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1706,df_e1,2021.1.2,59.62442822540445,
,,,,,,,,,,,,,,,11.279429194051772,None,13.265880887047388,None,14.537600735086016,None,space,1.4744932840112597,16.51475398801267,None,,,,,,,,,,,,,,,,2021_Mar_04_1706,df_e1,2021.1.2,59.62442822540445,
camel,camel1.jpg,0,0,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1706,df_e1,2021.1.2,59.62442822540445,
pineapple,pineapple1.jpg,0,1,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1706,df_e1,2021.1.2,59.62442822540445,
fish,fish3.jpg,0,2,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1706,df_e1,2021.1.2,59.62442822540445,
leaves,leaves1.jpg,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1706,df_e1,2021.1.2,59.62442822540445,
bird,bird3.jpg,0,4,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1706,df_e1,2021.1.2,59.62442822540445,
fox,fox1.jpg,0,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1706,df_e1,2021.1.2,59.62442822540445,
lion,lion1.jpg,0,6,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1706,df_e1,2021.1.2,59.62442822540445,
bridge,bridge1.jpg,0,7,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1706,df_e1,2021.1.2,59.62442822540445,
phone,phone1.jpg,0,8,8,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1706,df_e1,2021.1.2,59.62442822540445,
car,car1.jpg,0,9,9,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1706,df_e1,2021.1.2,59.62442822540445,
alligator,alligator1.jpg,0,10,10,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1706,df_e1,2021.1.2,59.62442822540445,
pie,pie1.jpg,0,11,11,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1706,df_e1,2021.1.2,59.62442822540445,
