concept,photo,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,condition,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,ins.started,ins.stopped,con1.started,con1.stopped,text.started,text.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,text_3.started,text_3.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,textbox.text,participant,condition,date,expName,psychopyVersion,frameRate,
cat,cat1.jpg,0,12,12,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1706,df_e1,2021.1.2,59.62442822540445,
whale,whale1.jpg,0,13,13,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1706,df_e1,2021.1.2,59.62442822540445,
chairs,chairs2.jpg,0,14,14,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1706,df_e1,2021.1.2,59.62442822540445,
train,train1.jpg,0,15,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1706,df_e1,2021.1.2,59.62442822540445,
,,,,,,,,,,,,,,,,,,,,,,,,,18.03999700502027,None,space,0.37984060402959585,20.01517776399851,None,,,,,,,,,,2021_Mar_04_1706,df_e1,2021.1.2,59.62442822540445,
horse,horse2.jpg,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1706,df_e1,2021.1.2,59.62442822540445,
book,book1.jpg,,,,,0,1,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1706,df_e1,2021.1.2,59.62442822540445,
turtle,turtle3.jpg,,,,,0,2,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1706,df_e1,2021.1.2,59.62442822540445,
banana,banana1.jpg,,,,,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1706,df_e1,2021.1.2,59.62442822540445,
strawberries,strawberries4.jpg,,,,,0,4,4,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1706,df_e1,2021.1.2,59.62442822540445,
apples,apples4.jpg,,,,,0,5,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1706,df_e1,2021.1.2,59.62442822540445,
carrots,carrots1.jpg,,,,,0,6,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1706,df_e1,2021.1.2,59.62442822540445,
bench,bench1.jpg,,,,,0,7,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1706,df_e1,2021.1.2,59.62442822540445,
rabbit,rabbit1.jpg,,,,,0,8,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1706,df_e1,2021.1.2,59.62442822540445,
frog,frog1.jpg,,,,,0,9,9,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1706,df_e1,2021.1.2,59.62442822540445,
mouse,mouse2.jpg,,,,,0,10,10,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1706,df_e1,2021.1.2,59.62442822540445,
bear,bear1.jpg,,,,,0,11,11,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1706,df_e1,2021.1.2,59.62442822540445,
bike,bike3.jpg,,,,,0,12,12,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1706,df_e1,2021.1.2,59.62442822540445,
elephant,elephant3.jpg,,,,,0,13,13,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1706,df_e1,2021.1.2,59.62442822540445,
grapes,grapes1.jpg,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1706,df_e1,2021.1.2,59.62442822540445,
tree,tree1.jpg,,,,,0,15,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1706,df_e1,2021.1.2,59.62442822540445,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.432827828102745,None,space,1.0830675410106778,22.41566127410624,None,,,,2021_Mar_04_1706,df_e1,2021.1.2,59.62442822540445,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"jfdsjhfks
fjsdkfs
fhsdjfs
fsjdfhks
",,,,,,,
