concept,photo,distractQ,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,condition,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,ins.started,ins.stopped,con1.started,con1.stopped,text.started,text.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,text_3.started,text_3.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,text_5.started,text_5.stopped,text_6.started,text_6.stopped,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,textbox.text,participant,condition,date,expName,psychopyVersion,frameRate,
strawberries,strawberries4.jpg,14 x 38 =,,,,,0,6,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1226,df_e1,2021.1.2,59.73013946859748,
bench,bench1.jpg,18 x 74 =,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1226,df_e1,2021.1.2,59.73013946859748,
phone,phone1.jpg,86 x 12 =,,,,,0,8,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1226,df_e1,2021.1.2,59.73013946859748,
frog,frog1.jpg,63 x 58 =,,,,,0,9,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1226,df_e1,2021.1.2,59.73013946859748,
bike,bike3.jpg,25 x 17 =,,,,,0,10,10,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1226,df_e1,2021.1.2,59.73013946859748,
tree,tree1.jpg,9 x 54 =,,,,,0,11,11,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1226,df_e1,2021.1.2,59.73013946859748,
turtle,turtle3.jpg,80 x 11 =,,,,,0,12,12,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1226,df_e1,2021.1.2,59.73013946859748,
rabbit,rabbit1.jpg,25 x 88 =,,,,,0,13,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1226,df_e1,2021.1.2,59.73013946859748,
pie,pie1.jpg,82 x 31 =,,,,,0,14,14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1226,df_e1,2021.1.2,59.73013946859748,
pineapple,pineapple1.jpg,44 x 75 =,,,,,0,15,15,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1226,df_e1,2021.1.2,59.73013946859748,
