concept,photo,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,condition,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,ins.started,ins.stopped,con1.started,con1.stopped,text.started,text.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,text_3.started,text_3.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,textbox.text,participant,condition,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,space,0.7863549439935014,15.422256593010388,None,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1658,df_e1,2021.1.2,60.170423072673614,
,,,,,,,,,,,,,,,13.441196299041621,None,15.422256593010388,None,16.243479174096137,None,space,2.682160366908647,18.22257875103969,None,,,,,,,,,,,,,,,,2021_Mar_04_1658,df_e1,2021.1.2,60.170423072673614,
strawberries,strawberries4.jpg,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1658,df_e1,2021.1.2,60.170423072673614,
carrots,carrots1.jpg,0,1,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1658,df_e1,2021.1.2,60.170423072673614,
elephant,elephant3.jpg,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1658,df_e1,2021.1.2,60.170423072673614,
bear,bear1.jpg,0,3,3,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1658,df_e1,2021.1.2,60.170423072673614,
turtle,turtle3.jpg,0,4,4,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1658,df_e1,2021.1.2,60.170423072673614,
chairs,chairs2.jpg,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1658,df_e1,2021.1.2,60.170423072673614,
leaves,leaves1.jpg,0,6,6,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1658,df_e1,2021.1.2,60.170423072673614,
mouse,mouse2.jpg,0,7,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1658,df_e1,2021.1.2,60.170423072673614,
horse,horse2.jpg,0,8,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1658,df_e1,2021.1.2,60.170423072673614,
