concept,photo,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,condition,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,ins.started,ins.stopped,con1.started,con1.stopped,text.started,text.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,text_3.started,text_3.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,textbox.text,participant,condition,date,expName,psychopyVersion,frameRate,
book,book1.jpg,0,9,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1658,df_e1,2021.1.2,60.170423072673614,
rabbit,rabbit1.jpg,0,10,10,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1658,df_e1,2021.1.2,60.170423072673614,
car,car1.jpg,0,11,11,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1658,df_e1,2021.1.2,60.170423072673614,
tree,tree1.jpg,0,12,12,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1658,df_e1,2021.1.2,60.170423072673614,
grapes,grapes1.jpg,0,13,13,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1658,df_e1,2021.1.2,60.170423072673614,
alligator,alligator1.jpg,0,14,14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1658,df_e1,2021.1.2,60.170423072673614,
phone,phone1.jpg,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1658,df_e1,2021.1.2,60.170423072673614,
,,,,,,,,,,,,,,,,,,,,,,,,,20.953118316014297,None,space,0.18839688296429813,22.939383138087578,None,,,,,,,,,,2021_Mar_04_1658,df_e1,2021.1.2,60.170423072673614,
pineapple,pineapple1.jpg,,,,,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1658,df_e1,2021.1.2,60.170423072673614,
frog,frog1.jpg,,,,,0,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1658,df_e1,2021.1.2,60.170423072673614,
cat,cat1.jpg,,,,,0,2,2,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1658,df_e1,2021.1.2,60.170423072673614,
whale,whale1.jpg,,,,,0,3,3,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1658,df_e1,2021.1.2,60.170423072673614,
apples,apples4.jpg,,,,,0,4,4,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1658,df_e1,2021.1.2,60.170423072673614,
bridge,bridge1.jpg,,,,,0,5,5,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1658,df_e1,2021.1.2,60.170423072673614,
lion,lion1.jpg,,,,,0,6,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1658,df_e1,2021.1.2,60.170423072673614,
bike,bike3.jpg,,,,,0,7,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1658,df_e1,2021.1.2,60.170423072673614,
train,train1.jpg,,,,,0,8,8,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1658,df_e1,2021.1.2,60.170423072673614,
pie,pie1.jpg,,,,,0,9,9,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1658,df_e1,2021.1.2,60.170423072673614,
fish,fish3.jpg,,,,,0,10,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1658,df_e1,2021.1.2,60.170423072673614,
fox,fox1.jpg,,,,,0,11,11,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1658,df_e1,2021.1.2,60.170423072673614,
bench,bench1.jpg,,,,,0,12,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1658,df_e1,2021.1.2,60.170423072673614,
camel,camel1.jpg,,,,,0,13,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1658,df_e1,2021.1.2,60.170423072673614,
bird,bird3.jpg,,,,,0,14,14,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1658,df_e1,2021.1.2,60.170423072673614,
banana,banana1.jpg,,,,,0,15,15,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1658,df_e1,2021.1.2,60.170423072673614,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.17287692404352,None,space,1.0382971060462296,25.15556840202771,None,,,,2021_Mar_04_1658,df_e1,2021.1.2,60.170423072673614,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," sahdjkasd
dhasjkda
dasjhkd",,,,,,,
