concept,photo,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,condition,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,ins.started,ins.stopped,con1.started,con1.stopped,text.started,text.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,image.started,image.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_3.started,text_3.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,image_2.started,image_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,textbox.text,textbox.started,textbox.stopped,button.started,button.stopped,button.numClicks,button.timesOn,button.timesOff,input.keys,input.rt,input.started,input.stopped,participant,condition,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,space,11.029299500980414,35.91652464703657,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1650,df_e1,2021.1.2,59.964580237380886,
,,,,,,,,,,,,,,,33.936161097022705,None,35.91652464703657,None,46.969602730940096,None,space,28.800209884997457,48.950588261010125,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1650,df_e1,2021.1.2,59.964580237380886,
elephant,elephant3.jpg,0,0,0,15,,,,,,,,,,,,,,,,,,,,77.84565548901446,None,space,5.411100659053773,78.31689947203267,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1650,df_e1,2021.1.2,59.964580237380886,
pineapple,pineapple1.jpg,0,1,1,11,,,,,,,,,,,,,,,,,,,,83.77322507603094,None,space,0.5790051959920675,84.2596934789326,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1650,df_e1,2021.1.2,59.964580237380886,
car,car1.jpg,0,2,2,9,,,,,,,,,,,,,,,,,,,,84.88635457493365,None,space,1.0185056320624426,85.36612437898293,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1650,df_e1,2021.1.2,59.964580237380886,
book,book1.jpg,0,3,3,10,,,,,,,,,,,,,,,,,,,,86.43804982397705,None,space,0.880981637048535,86.932802745956,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1650,df_e1,2021.1.2,59.964580237380886,
horse,horse2.jpg,0,4,4,5,,,,,,,,,,,,,,,,,,,,87.84982522798236,None,space,1.0901821929728612,88.33272376004606,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1650,df_e1,2021.1.2,59.964580237380886,
mouse,mouse2.jpg,0,5,5,0,,,,,,,,,,,,,,,,,,,,89.46398215193767,None,space,0.8825783070642501,89.94912433298305,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1650,df_e1,2021.1.2,59.964580237380886,
fox,fox1.jpg,0,6,6,8,,,,,,,,,,,,,,,,,,,,90.86220493703149,None,space,0.7634635340655223,91.34910681797192,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1650,df_e1,2021.1.2,59.964580237380886,
alligator,alligator1.jpg,0,7,7,12,,,,,,,,,,,,,,,,,,,,92.14959413500037,None,space,1.1070785820484161,92.6325569950277,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1650,df_e1,2021.1.2,59.964580237380886,
