concept,photo,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,condition,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,ins.started,ins.stopped,con1.started,con1.stopped,text.started,text.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,text_3.started,text_3.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,textbox.text,participant,condition,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,space,0.7587560449028388,12.268582715070806,None,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1656,df_e1,2021.1.2,61.24225028675137,
,,,,,,,,,,,,,,,10.289680203073658,None,12.268582715070806,None,13.053789838100784,None,space,3.478489846922457,15.034799926099367,None,,,,,,,,,,,,,,,,2021_Mar_04_1656,df_e1,2021.1.2,61.24225028675137,
bird,bird3.jpg,0,0,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1656,df_e1,2021.1.2,61.24225028675137,
fish,fish3.jpg,0,1,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1656,df_e1,2021.1.2,61.24225028675137,
turtle,turtle3.jpg,0,2,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1656,df_e1,2021.1.2,61.24225028675137,
banana,banana1.jpg,0,3,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1656,df_e1,2021.1.2,61.24225028675137,
lion,lion1.jpg,0,4,4,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1656,df_e1,2021.1.2,61.24225028675137,
whale,whale1.jpg,0,5,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1656,df_e1,2021.1.2,61.24225028675137,
fox,fox1.jpg,0,6,6,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1656,df_e1,2021.1.2,61.24225028675137,
tree,tree1.jpg,0,7,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1656,df_e1,2021.1.2,61.24225028675137,
phone,phone1.jpg,0,8,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1656,df_e1,2021.1.2,61.24225028675137,
bike,bike3.jpg,0,9,9,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1656,df_e1,2021.1.2,61.24225028675137,
leaves,leaves1.jpg,0,10,10,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1656,df_e1,2021.1.2,61.24225028675137,
mouse,mouse2.jpg,0,11,11,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1656,df_e1,2021.1.2,61.24225028675137,
elephant,elephant3.jpg,0,12,12,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1656,df_e1,2021.1.2,61.24225028675137,
pineapple,pineapple1.jpg,0,13,13,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1656,df_e1,2021.1.2,61.24225028675137,
cat,cat1.jpg,0,14,14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1656,df_e1,2021.1.2,61.24225028675137,
chairs,chairs2.jpg,0,15,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1656,df_e1,2021.1.2,61.24225028675137,
,,,,,,,,,,,,,,,,,,,,,,,,,18.55889637407381,None,space,0.8585882720071822,20.55059273703955,None,,,,,,,,,,2021_Mar_04_1656,df_e1,2021.1.2,61.24225028675137,
grapes,grapes1.jpg,,,,,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1656,df_e1,2021.1.2,61.24225028675137,
train,train1.jpg,,,,,0,1,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1656,df_e1,2021.1.2,61.24225028675137,
horse,horse2.jpg,,,,,0,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1656,df_e1,2021.1.2,61.24225028675137,
