concept,photo,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,condition,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,ins.started,ins.stopped,con1.started,con1.stopped,text.started,text.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,text_3.started,text_3.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,textbox.text,participant,condition,date,expName,psychopyVersion,frameRate,
alligator,alligator1.jpg,,,,,0,3,3,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1656,df_e1,2021.1.2,61.24225028675137,
bridge,bridge1.jpg,,,,,0,4,4,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1656,df_e1,2021.1.2,61.24225028675137,
strawberries,strawberries4.jpg,,,,,0,5,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1656,df_e1,2021.1.2,61.24225028675137,
carrots,carrots1.jpg,,,,,0,6,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1656,df_e1,2021.1.2,61.24225028675137,
rabbit,rabbit1.jpg,,,,,0,7,7,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1656,df_e1,2021.1.2,61.24225028675137,
frog,frog1.jpg,,,,,0,8,8,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1656,df_e1,2021.1.2,61.24225028675137,
bear,bear1.jpg,,,,,0,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1656,df_e1,2021.1.2,61.24225028675137,
camel,camel1.jpg,,,,,0,10,10,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1656,df_e1,2021.1.2,61.24225028675137,
pie,pie1.jpg,,,,,0,11,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1656,df_e1,2021.1.2,61.24225028675137,
car,car1.jpg,,,,,0,12,12,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1656,df_e1,2021.1.2,61.24225028675137,
apples,apples4.jpg,,,,,0,13,13,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1656,df_e1,2021.1.2,61.24225028675137,
bench,bench1.jpg,,,,,0,14,14,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1656,df_e1,2021.1.2,61.24225028675137,
book,book1.jpg,,,,,0,15,15,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1656,df_e1,2021.1.2,61.24225028675137,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.449094597017393,None,space,1.3909116779686883,23.4339450300904,None,,,,2021_Mar_04_1656,df_e1,2021.1.2,61.24225028675137,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," fgsdjhfgs
sdhfjksh
fhsdkjf
fdhsjkfs
",,,,,,,
