concept,photo,distractQ,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,condition,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,ins.started,ins.stopped,con1.started,con1.stopped,text.started,text.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,text_3.started,text_3.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,text_5.started,text_5.stopped,text_6.started,text_6.stopped,participant,condition,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,space,0.4593129010008852,12.76621348900153,None,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1218,df_e1,2021.1.2,60.255525728086205,
,,,,,,,,,,,,,,,,,,,,10.80809420100013,None,12.76621348900153,None,13.25000163200093,None,space,0.5349220059997606,15.214213417000792,None,,,,,,,,,,,,,,,,,2021_Mar_08_1218,df_e1,2021.1.2,60.255525728086205,
car,car1.jpg,77 x 21 =,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1218,df_e1,2021.1.2,60.255525728086205,
mouse,mouse2.jpg,26 x 23 =,0,1,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1218,df_e1,2021.1.2,60.255525728086205,
fish,fish3.jpg,16 x 12 =,0,2,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1218,df_e1,2021.1.2,60.255525728086205,
pie,pie1.jpg,82 x 31 =,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1218,df_e1,2021.1.2,60.255525728086205,
rabbit,rabbit1.jpg,25 x 88 =,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1218,df_e1,2021.1.2,60.255525728086205,
fox,fox1.jpg,74 x 57 =,0,5,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1218,df_e1,2021.1.2,60.255525728086205,
apples,apples4.jpg,68 x 47 =,0,6,6,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1218,df_e1,2021.1.2,60.255525728086205,
lion,lion1.jpg,11 x 83 =,0,7,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1218,df_e1,2021.1.2,60.255525728086205,
alligator,alligator1.jpg,47 x 24 =,0,8,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1218,df_e1,2021.1.2,60.255525728086205,
bear,bear1.jpg,49 x 43 =,0,9,9,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1218,df_e1,2021.1.2,60.255525728086205,
book,book1.jpg,9 x 22 =,0,10,10,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1218,df_e1,2021.1.2,60.255525728086205,
turtle,turtle3.jpg,80 x 11 =,0,11,11,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1218,df_e1,2021.1.2,60.255525728086205,
elephant,elephant3.jpg,51 x 65 =,0,12,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1218,df_e1,2021.1.2,60.255525728086205,
train,train1.jpg,96 x 22 =,0,13,13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1218,df_e1,2021.1.2,60.255525728086205,
grapes,grapes1.jpg,37 x 63 =,0,14,14,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1218,df_e1,2021.1.2,60.255525728086205,
banana,banana1.jpg,84 x 54 =,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1218,df_e1,2021.1.2,60.255525728086205,
