concept,photo,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,condition,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,ins.started,ins.stopped,con1.started,con1.stopped,text.started,text.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,text_3.started,text_3.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,textbox.text,participant,condition,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,space,0.8822344950167462,13.954259697929956,None,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1700,df_e1,2021.1.2,59.981341122083144,
,,,,,,,,,,,,,,,11.979891504975967,None,13.954259697929956,None,14.872888362035155,None,space,0.6293670779559761,16.852884931955487,None,,,,,,,,,,,,,,,,2021_Mar_04_1700,df_e1,2021.1.2,59.981341122083144,
cat,cat1.jpg,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1700,df_e1,2021.1.2,59.981341122083144,
whale,whale1.jpg,0,1,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1700,df_e1,2021.1.2,59.981341122083144,
frog,frog1.jpg,0,2,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1700,df_e1,2021.1.2,59.981341122083144,
horse,horse2.jpg,0,3,3,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1700,df_e1,2021.1.2,59.981341122083144,
bird,bird3.jpg,0,4,4,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1700,df_e1,2021.1.2,59.981341122083144,
fish,fish3.jpg,0,5,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1700,df_e1,2021.1.2,59.981341122083144,
lion,lion1.jpg,0,6,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1700,df_e1,2021.1.2,59.981341122083144,
rabbit,rabbit1.jpg,0,7,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1700,df_e1,2021.1.2,59.981341122083144,
car,car1.jpg,0,8,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1700,df_e1,2021.1.2,59.981341122083144,
grapes,grapes1.jpg,0,9,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1700,df_e1,2021.1.2,59.981341122083144,
bench,bench1.jpg,0,10,10,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1700,df_e1,2021.1.2,59.981341122083144,
leaves,leaves1.jpg,0,11,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1700,df_e1,2021.1.2,59.981341122083144,
tree,tree1.jpg,0,12,12,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1700,df_e1,2021.1.2,59.981341122083144,
bear,bear1.jpg,0,13,13,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1700,df_e1,2021.1.2,59.981341122083144,
train,train1.jpg,0,14,14,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1700,df_e1,2021.1.2,59.981341122083144,
fox,fox1.jpg,0,15,15,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1700,df_e1,2021.1.2,59.981341122083144,
,,,,,,,,,,,,,,,,,,,,,,,,,17.525360474013723,None,space,0.515780059969984,19.502538150991313,None,,,,,,,,,,2021_Mar_04_1700,df_e1,2021.1.2,59.981341122083144,
elephant,elephant3.jpg,,,,,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1700,df_e1,2021.1.2,59.981341122083144,
mouse,mouse2.jpg,,,,,0,1,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1700,df_e1,2021.1.2,59.981341122083144,
bike,bike3.jpg,,,,,0,2,2,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1700,df_e1,2021.1.2,59.981341122083144,
book,book1.jpg,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1700,df_e1,2021.1.2,59.981341122083144,
pineapple,pineapple1.jpg,,,,,0,4,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1700,df_e1,2021.1.2,59.981341122083144,
camel,camel1.jpg,,,,,0,5,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1700,df_e1,2021.1.2,59.981341122083144,
chairs,chairs2.jpg,,,,,0,6,6,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1700,df_e1,2021.1.2,59.981341122083144,
bridge,bridge1.jpg,,,,,0,7,7,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1700,df_e1,2021.1.2,59.981341122083144,
strawberries,strawberries4.jpg,,,,,0,8,8,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1700,df_e1,2021.1.2,59.981341122083144,
banana,banana1.jpg,,,,,0,9,9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1700,df_e1,2021.1.2,59.981341122083144,
apples,apples4.jpg,,,,,0,10,10,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1700,df_e1,2021.1.2,59.981341122083144,
phone,phone1.jpg,,,,,0,11,11,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1700,df_e1,2021.1.2,59.981341122083144,
carrots,carrots1.jpg,,,,,0,12,12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1700,df_e1,2021.1.2,59.981341122083144,
pie,pie1.jpg,,,,,0,13,13,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1700,df_e1,2021.1.2,59.981341122083144,
alligator,alligator1.jpg,,,,,0,14,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1700,df_e1,2021.1.2,59.981341122083144,
turtle,turtle3.jpg,,,,,0,15,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1700,df_e1,2021.1.2,59.981341122083144,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.06101384095382,None,space,0.5771572149824351,22.051755691994913,None,,,,2021_Mar_04_1700,df_e1,2021.1.2,59.981341122083144,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ghgjgjhgjhg
hjkhkj
hjhk
hjkhk
",,,,,,,
