concept,photo,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,condition,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,ins.started,ins.stopped,con1.started,con1.stopped,text.started,text.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,image.started,image.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_3.started,text_3.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,image_2.started,image_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,participant,condition,date,expName,psychopyVersion,frameRate,
phone,phone1.jpg,0,8,8,1,,,,,,,,,,,,,,,,,,,,29.806494776974432,None,space,0.041618893039412796,30.290267354925163,None,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1647,df_e1,2021.1.2,59.92367305289833,
pineapple,pineapple1.jpg,0,9,9,3,,,,,,,,,,,,,,,,,,,,30.37334402196575,None,space,0.24603530403692275,30.857016247930005,None,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1647,df_e1,2021.1.2,59.92367305289833,
tree,tree1.jpg,0,10,10,0,,,,,,,,,,,,,,,,,,,,31.14081566699315,None,space,0.2822694700444117,31.62362202699296,None,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1647,df_e1,2021.1.2,59.92367305289833,
cat,cat1.jpg,0,11,11,15,,,,,,,,,,,,,,,,,,,,31.940085815964267,None,space,0.32727941893972456,32.423547429032624,None,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1647,df_e1,2021.1.2,59.92367305289833,
mouse,mouse2.jpg,0,12,12,11,,,,,,,,,,,,,,,,,,,,32.79074053093791,None,space,0.17330921802204102,33.27369198203087,None,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1647,df_e1,2021.1.2,59.92367305289833,
strawberries,strawberries4.jpg,0,13,13,10,,,,,,,,,,,,,,,,,,,,33.4922384689562,None,space,0.18913602305110544,33.973796767997555,None,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1647,df_e1,2021.1.2,59.92367305289833,
rabbit,rabbit1.jpg,0,14,14,6,,,,,,,,,,,,,,,,,,,,34.205544137977995,None,space,0.14944094291422516,34.69036320899613,None,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1647,df_e1,2021.1.2,59.92367305289833,
horse,horse2.jpg,0,15,15,9,,,,,,,,,,,,,,,,,,,,34.87405939993914,None,space,0.19819157395977527,35.35695673793089,None,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1647,df_e1,2021.1.2,59.92367305289833,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.573526575928554,None,space,1.2383308379212394,37.556479257997125,None,,,,,,,,,,,,,,,2021_Mar_04_1647,df_e1,2021.1.2,59.92367305289833,
book,book1.jpg,,,,,0,0,0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.85539849102497,None,space,0.2244977590162307,39.34101252199616,None,,,,,,,,,2021_Mar_04_1647,df_e1,2021.1.2,59.92367305289833,
camel,camel1.jpg,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.60856151999906,None,space,0.3058220479870215,40.0909177439753,None,,,,,,,,,2021_Mar_04_1647,df_e1,2021.1.2,59.92367305289833,
fox,fox1.jpg,,,,,0,2,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.43981544394046,None,space,0.36757406301330775,40.9237869939534,None,,,,,,,,,2021_Mar_04_1647,df_e1,2021.1.2,59.92367305289833,
carrots,carrots1.jpg,,,,,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.342900463961996,None,space,0.1968545049894601,41.82362914993428,None,,,,,,,,,2021_Mar_04_1647,df_e1,2021.1.2,59.92367305289833,
chairs,chairs2.jpg,,,,,0,4,4,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.05772686400451,None,space,0.34004942001774907,42.54059061000589,None,,,,,,,,,2021_Mar_04_1647,df_e1,2021.1.2,59.92367305289833,
pie,pie1.jpg,,,,,0,5,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.93265133199748,None,space,0.3388048119377345,43.42372849502135,None,,,,,,,,,2021_Mar_04_1647,df_e1,2021.1.2,59.92367305289833,
train,train1.jpg,,,,,0,6,6,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.80918958096299,None,space,0.1829890370136127,44.290515384986065,None,,,,,,,,,2021_Mar_04_1647,df_e1,2021.1.2,59.92367305289833,
lion,lion1.jpg,,,,,0,7,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.50603397493251,None,space,0.3269775089574978,44.99029185902327,None,,,,,,,,,2021_Mar_04_1647,df_e1,2021.1.2,59.92367305289833,
apples,apples4.jpg,,,,,0,8,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.36003671702929,None,space,0.4119740859605372,45.840509066940285,None,,,,,,,,,2021_Mar_04_1647,df_e1,2021.1.2,59.92367305289833,
bear,bear1.jpg,,,,,0,9,9,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.293635893962346,None,space,0.4048454490257427,46.77372119098436,None,,,,,,,,,2021_Mar_04_1647,df_e1,2021.1.2,59.92367305289833,
car,car1.jpg,,,,,0,10,10,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.224864255986176,None,space,0.4430791649501771,47.706372960004956,None,,,,,,,,,2021_Mar_04_1647,df_e1,2021.1.2,59.92367305289833,
leaves,leaves1.jpg,,,,,0,11,11,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.1894961099606,None,space,0.27175767405424267,48.67366441700142,None,,,,,,,,,2021_Mar_04_1647,df_e1,2021.1.2,59.92367305289833,
bird,bird3.jpg,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.98919058300089,None,space,0.2296279139118269,49.473706329008564,None,,,,,,,,,2021_Mar_04_1647,df_e1,2021.1.2,59.92367305289833,
turtle,turtle3.jpg,,,,,0,13,13,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.74071851791814,None,space,0.38029508700128645,50.223058387986384,None,,,,,,,,,2021_Mar_04_1647,df_e1,2021.1.2,59.92367305289833,
frog,frog1.jpg,,,,,0,14,14,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.64161040796898,None,space,0.27420322608668357,51.12306169292424,None,,,,,,,,,2021_Mar_04_1647,df_e1,2021.1.2,59.92367305289833,
bench,bench1.jpg,,,,,0,15,15,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.44127072498668,None,space,0.2739829330239445,51.92336536094081,None,,,,,,,,,2021_Mar_04_1647,df_e1,2021.1.2,59.92367305289833,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.2236207369715,None,space,2.343699529999867,54.20668024092447,None,,,2021_Mar_04_1647,df_e1,2021.1.2,59.92367305289833,
