concept,photo,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,condition,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,ins.started,ins.stopped,con1.started,con1.stopped,text.started,text.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,image.started,image.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_3.started,text_3.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,image_2.started,image_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,participant,condition,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,space,2.078241688082926,14.095275240018964,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1647,df_e1,2021.1.2,59.92367305289833,
,,,,,,,,,,,,,,,12.112548892968334,None,14.095275240018964,None,16.195526566007175,None,space,2.3488803890068084,18.17465960897971,None,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1647,df_e1,2021.1.2,59.92367305289833,
banana,banana1.jpg,0,0,0,5,,,,,,,,,,,,,,,,,,,,20.60819740302395,None,space,1.3719910490326583,21.074488215963356,None,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1647,df_e1,2021.1.2,59.92367305289833,
fish,fish3.jpg,0,1,1,4,,,,,,,,,,,,,,,,,,,,22.491108226939104,None,space,0.6833490860881284,22.97474503691774,None,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1647,df_e1,2021.1.2,59.92367305289833,
alligator,alligator1.jpg,0,2,2,12,,,,,,,,,,,,,,,,,,,,23.707613901002333,None,space,1.537627115030773,24.19077587092761,None,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1647,df_e1,2021.1.2,59.92367305289833,
grapes,grapes1.jpg,0,3,3,2,,,,,,,,,,,,,,,,,,,,25.77630705095362,None,space,0.1349795979913324,26.257091164938174,None,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1647,df_e1,2021.1.2,59.92367305289833,
bike,bike3.jpg,0,4,4,7,,,,,,,,,,,,,,,,,,,,26.441569785936736,None,space,0.010712702991440892,26.92442559392657,None,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1647,df_e1,2021.1.2,59.92367305289833,
whale,whale1.jpg,0,5,5,14,,,,,,,,,,,,,,,,,,,,26.970508945989423,None,space,0.01806941395625472,27.45697116199881,None,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1647,df_e1,2021.1.2,59.92367305289833,
bridge,bridge1.jpg,0,6,6,8,,,,,,,,,,,,,,,,,,,,27.525448616943322,None,space,1.0593812889419496,28.006854660925455,None,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1647,df_e1,2021.1.2,59.92367305289833,
elephant,elephant3.jpg,0,7,7,13,,,,,,,,,,,,,,,,,,,,29.108544013928622,None,space,0.1787223839201033,29.590334550011903,None,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1647,df_e1,2021.1.2,59.92367305289833,
