Lang_Select.keys,Lang_Select.rt,welcomeResp.keys,welcomeResp.rt,choice.keys,choice.rt,responseRepeat.keys,responseRepeat.rt,t1,t2,sequence,Status,Step56,Step40,time_durations.thisRepN,time_durations.thisTrialN,time_durations.thisN,time_durations.thisIndex,time_durations.ran,Email,date,expName,psychopyVersion,OS,frameRate
1,1.637,space,0.896,1,2.442,space,1.03,4,5.6,40,up,0,0,0,0,0,0,1,,2021-03-24_21h55.43.287,time_perception_2Phases_ENRU,2021.2,Linux x86_64,60
,,,,2,0.623,space,1.165,3.6,6,40,down,0,1,1,0,1,0,1,,2021-03-24_21h55.43.287,time_perception_2Phases_ENRU,2021.2,Linux x86_64,60
,,,,2,28.176,space,0.696,4,5.6,40,up,0,2,2,0,2,0,1,,2021-03-24_21h55.43.287,time_perception_2Phases_ENRU,2021.2,Linux x86_64,60
,,,,2,41.198,space,1.825,4.4,5.2,40,up,0,2,3,0,3,0,1,,2021-03-24_21h55.43.287,time_perception_2Phases_ENRU,2021.2,Linux x86_64,60
,,,,2,1637.129,space,0.681,4.8,4.8,40,up,0,2,4,0,4,0,1,,2021-03-24_21h55.43.287,time_perception_2Phases_ENRU,2021.2,Linux x86_64,60
,,,,2,1680.621,space,1.325,5.6,4,56,down,0,2,5,0,5,0,1,,2021-03-24_21h55.43.287,time_perception_2Phases_ENRU,2021.2,Linux x86_64,60
,,,,1,2.304,space,0.917,6,3.6,56,up,1,2,6,0,6,0,1,,2021-03-24_21h55.43.287,time_perception_2Phases_ENRU,2021.2,Linux x86_64,60
,,,,1,1.932,space,1.024,5.2,4.4,40,up,2,2,7,0,7,0,1,,2021-03-24_21h55.43.287,time_perception_2Phases_ENRU,2021.2,Linux x86_64,60
,,,,2,1.645,space,1.189,4.8,4.8,40,down,2,3,8,0,8,0,1,,2021-03-24_21h55.43.287,time_perception_2Phases_ENRU,2021.2,Linux x86_64,60
,,,,2,1.208,space,1.01,5.2,4.4,40,up,2,4,9,0,9,0,1,,2021-03-24_21h55.43.287,time_perception_2Phases_ENRU,2021.2,Linux x86_64,60
,,,,2,1.625,space,0.917,5.6,4,40,up,2,4,10,0,10,0,1,,2021-03-24_21h55.43.287,time_perception_2Phases_ENRU,2021.2,Linux x86_64,60
,,,,2,1.331,space,0.994,6,3.6,40,up,2,4,11,0,11,0,1,,2021-03-24_21h55.43.287,time_perception_2Phases_ENRU,2021.2,Linux x86_64,60
,,,,1,1.451,space,0.83,5.6,4,56,down,2,4,12,0,12,0,1,,2021-03-24_21h55.43.287,time_perception_2Phases_ENRU,2021.2,Linux x86_64,60
,,,,2,1.42,space,1.012,5.2,4.4,56,down,2,4,13,0,13,0,1,,2021-03-24_21h55.43.287,time_perception_2Phases_ENRU,2021.2,Linux x86_64,60
,,,,2,27.572,space,0.985,5.6,4,56,up,3,4,14,0,14,0,1,,2021-03-24_21h55.43.287,time_perception_2Phases_ENRU,2021.2,Linux x86_64,60
,,,,2,9.441,space,0.756,6,3.6,56,up,3,4,15,0,15,0,1,,2021-03-24_21h55.43.287,time_perception_2Phases_ENRU,2021.2,Linux x86_64,60
,,,,2,0.901,space,0.734,6.4,3.2,40,up,3,4,16,0,16,0,1,,2021-03-24_21h55.43.287,time_perception_2Phases_ENRU,2021.2,Linux x86_64,60
,,,,2,1.868,space,0.726,6.8,2.8,40,up,3,4,17,0,17,0,1,,2021-03-24_21h55.43.287,time_perception_2Phases_ENRU,2021.2,Linux x86_64,60
,,,,2,6.094,space,1.044,7.2,2.4,40,up,3,4,18,0,18,0,1,,2021-03-24_21h55.43.287,time_perception_2Phases_ENRU,2021.2,Linux x86_64,60
,,,,2,1.033,space,0.792,6.4,3.2,56,up,3,4,19,0,19,0,1,,2021-03-24_21h55.43.287,time_perception_2Phases_ENRU,2021.2,Linux x86_64,60
,,,,2,1.97,space,1.134,7.6,2,40,up,3,4,20,0,20,0,1,,2021-03-24_21h55.43.287,time_perception_2Phases_ENRU,2021.2,Linux x86_64,60
,,,,2,0.731,space,0.727,6.8,2.8,56,up,3,4,21,0,21,0,1,,2021-03-24_21h55.43.287,time_perception_2Phases_ENRU,2021.2,Linux x86_64,60
,,,,2,5.364,space,1.205,8,1.6,40,up,3,4,22,0,22,0,1,,2021-03-24_21h55.43.287,time_perception_2Phases_ENRU,2021.2,Linux x86_64,60
,,,,2,1.147,space,1.326,7.2,2.4,56,up,3,4,23,0,23,0,1,,2021-03-24_21h55.43.287,time_perception_2Phases_ENRU,2021.2,Linux x86_64,60
,,,,1,1.024,space,1.627,8.4,1.2,40,up,3,4,24,0,24,0,1,,2021-03-24_21h55.43.287,time_perception_2Phases_ENRU,2021.2,Linux x86_64,60
,,,,2,2.1,space,0.776,7.6,2,56,up,3,5,25,0,25,0,1,,2021-03-24_21h55.43.287,time_perception_2Phases_ENRU,2021.2,Linux x86_64,60
,,,,1,0.797,space,0.704,8,1.6,56,up,3,5,26,0,26,0,1,,2021-03-24_21h55.43.287,time_perception_2Phases_ENRU,2021.2,Linux x86_64,60
,,,,2,0.802,space,0.831,7.6,2,56,down,4,5,27,0,27,0,1,,2021-03-24_21h55.43.287,time_perception_2Phases_ENRU,2021.2,Linux x86_64,60
,,,,1,1.714,space,1.846,8,1.6,40,down,5,5,28,0,28,0,1,,2021-03-24_21h55.43.287,time_perception_2Phases_ENRU,2021.2,Linux x86_64,60
,,,,2,3.785,space,1.281,7.6,2,40,down,5,5,29,0,29,0,1,,2021-03-24_21h55.43.287,time_perception_2Phases_ENRU,2021.2,Linux x86_64,60
