concept,photo,distractQ,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,condition,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,ins.started,ins.stopped,con1.started,con1.stopped,text.started,text.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,text_3.started,text_3.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,text_5.started,text_5.stopped,text_6.started,text_6.stopped,participant,condition,date,expName,psychopyVersion,frameRate,
grapes,grapes1.jpg,37 x 63 =,,,,,0,10,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1222,df_e1,2021.1.2,59.64071811118861,
cat,cat1.jpg,77 x 21 =,,,,,0,11,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1222,df_e1,2021.1.2,59.64071811118861,
whale,whale1.jpg,5 x 57 =,,,,,0,12,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1222,df_e1,2021.1.2,59.64071811118861,
fish,fish3.jpg,16 x 12 =,,,,,0,13,13,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1222,df_e1,2021.1.2,59.64071811118861,
train,train1.jpg,96 x 22 =,,,,,0,14,14,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1222,df_e1,2021.1.2,59.64071811118861,
horse,horse2.jpg,18 x 61 =,,,,,0,15,15,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1222,df_e1,2021.1.2,59.64071811118861,
fox,fox1.jpg,74 x 57 =,,,,,,,,,0,0,0,19,,,,,,,,,,,,,,,,,,,,,,return,7.402032448000682,28.606290859999717,None,28.606290859999717,None,28.606290859999717,None,,,2021_Mar_08_1222,df_e1,2021.1.2,59.64071811118861,
tree,tree1.jpg,9 x 54 =,,,,,,,,,0,1,1,11,,,,,,,,,,,,,,,,,,,,,,return,3.174811053999292,36.04639097399922,None,36.04639097399922,None,36.04639097399922,None,,,2021_Mar_08_1222,df_e1,2021.1.2,59.64071811118861,
bike,bike3.jpg,25 x 17 =,,,,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,return,2.4169826559991634,39.24639647599906,None,39.24639647599906,None,39.24639647599906,None,,,2021_Mar_08_1222,df_e1,2021.1.2,59.64071811118861,
camel,camel1.jpg,44 x 84 =,,,,,,,,,0,3,3,26,,,,,,,,,,,,,,,,,,,,,,return,2.6010600049994537,41.69784015799996,None,41.69784015799996,None,41.69784015799996,None,,,2021_Mar_08_1222,df_e1,2021.1.2,59.64071811118861,
turtle,turtle3.jpg,80 x 11 =,,,,,,,,,0,4,4,13,,,,,,,,,,,,,,,,,,,,,,return,3.900719035000293,44.32687401799922,None,44.32687401799922,None,44.32687401799922,None,,,2021_Mar_08_1222,df_e1,2021.1.2,59.64071811118861,
phone,phone1.jpg,86 x 12 =,,,,,,,,,0,5,5,21,,,,,,,,,,,,,,,,,,,,,,return,3.179826415000207,48.260141202999876,None,48.260141202999876,None,48.260141202999876,None,,,2021_Mar_08_1222,df_e1,2021.1.2,59.64071811118861,
grapes,grapes1.jpg,37 x 63 =,,,,,,,,,0,6,6,31,,,,,,,,,,,,,,,,,,,,,,return,3.5985753379991365,51.477882637998846,None,51.477882637998846,None,51.477882637998846,None,,,2021_Mar_08_1222,df_e1,2021.1.2,59.64071811118861,
train,train1.jpg,96 x 22 =,,,,,,,,,0,7,7,8,,,,,,,,,,,,,,,,,,,,,,return,2.44775793000008,55.10858823600029,None,55.10858823600029,None,55.10858823600029,None,,,2021_Mar_08_1222,df_e1,2021.1.2,59.64071811118861,
mouse,mouse2.jpg,26 x 23 =,,,,,,,,,0,8,8,27,,,,,,,,,,,,,,,,,,,,,,return,3.225563410000177,57.59289457399973,None,57.59289457399973,None,57.59289457399973,None,,,2021_Mar_08_1222,df_e1,2021.1.2,59.64071811118861,
pineapple,pineapple1.jpg,44 x 75 =,,,,,,,,,0,9,9,22,,,,,,,,,,,,,,,,,,,,,,return,4.89173656300045,60.84217842199905,None,60.84217842199905,None,60.84217842199905,None,,,2021_Mar_08_1222,df_e1,2021.1.2,59.64071811118861,
strawberries,strawberries4.jpg,14 x 38 =,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,return,1.1155122899999697,65.75996682100049,None,65.75996682100049,None,65.75996682100049,None,,,2021_Mar_08_1222,df_e1,2021.1.2,59.64071811118861,
leaves,leaves1.jpg,87 x 7 =,,,,,,,,,0,11,11,0,,,,,,,,,,,,,,,,,,,,,,return,0.5141011169998819,66.90764879100061,None,66.90764879100061,None,66.90764879100061,None,,,2021_Mar_08_1222,df_e1,2021.1.2,59.64071811118861,
