concept,photo,distractQ,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,condition,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,ins.started,ins.stopped,con1.started,con1.stopped,text.started,text.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,text_3.started,text_3.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,text_5.started,text_5.stopped,text_6.started,text_6.stopped,participant,condition,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,space,6.786512198999844,14.65591404800034,None,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1222,df_e1,2021.1.2,59.64071811118861,
,,,,,,,,,,,,,,,,,,,,12.679953143999228,None,14.65591404800034,None,21.47413175300062,None,space,2.187421335998806,23.454708493,None,,,,,,,,,,,,,,,,,2021_Mar_08_1222,df_e1,2021.1.2,59.64071811118861,
bike,bike3.jpg,25 x 17 =,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1222,df_e1,2021.1.2,59.64071811118861,
mouse,mouse2.jpg,26 x 23 =,0,1,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1222,df_e1,2021.1.2,59.64071811118861,
pie,pie1.jpg,82 x 31 =,0,2,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1222,df_e1,2021.1.2,59.64071811118861,
bird,bird3.jpg,17 x 87 =,0,3,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1222,df_e1,2021.1.2,59.64071811118861,
frog,frog1.jpg,63 x 58 =,0,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1222,df_e1,2021.1.2,59.64071811118861,
chairs,chairs2.jpg,13 x 47 =,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1222,df_e1,2021.1.2,59.64071811118861,
phone,phone1.jpg,86 x 12 =,0,6,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1222,df_e1,2021.1.2,59.64071811118861,
lion,lion1.jpg,11 x 83 =,0,7,7,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1222,df_e1,2021.1.2,59.64071811118861,
apples,apples4.jpg,68 x 47 =,0,8,8,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1222,df_e1,2021.1.2,59.64071811118861,
car,car1.jpg,77 x 21 =,0,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1222,df_e1,2021.1.2,59.64071811118861,
elephant,elephant3.jpg,51 x 65 =,0,10,10,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1222,df_e1,2021.1.2,59.64071811118861,
bench,bench1.jpg,18 x 74 =,0,11,11,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1222,df_e1,2021.1.2,59.64071811118861,
camel,camel1.jpg,44 x 84 =,0,12,12,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1222,df_e1,2021.1.2,59.64071811118861,
book,book1.jpg,9 x 22 =,0,13,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1222,df_e1,2021.1.2,59.64071811118861,
banana,banana1.jpg,84 x 54 =,0,14,14,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1222,df_e1,2021.1.2,59.64071811118861,
fox,fox1.jpg,74 x 57 =,0,15,15,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1222,df_e1,2021.1.2,59.64071811118861,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.69976499800032,None,space,0.8527490369997395,27.688021439000295,None,,,,,,,,,,,2021_Mar_08_1222,df_e1,2021.1.2,59.64071811118861,
alligator,alligator1.jpg,47 x 24 =,,,,,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1222,df_e1,2021.1.2,59.64071811118861,
pineapple,pineapple1.jpg,44 x 75 =,,,,,0,1,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1222,df_e1,2021.1.2,59.64071811118861,
turtle,turtle3.jpg,80 x 11 =,,,,,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1222,df_e1,2021.1.2,59.64071811118861,
tree,tree1.jpg,9 x 54 =,,,,,0,3,3,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1222,df_e1,2021.1.2,59.64071811118861,
bridge,bridge1.jpg,94 x 64 =,,,,,0,4,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1222,df_e1,2021.1.2,59.64071811118861,
rabbit,rabbit1.jpg,25 x 88 =,,,,,0,5,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1222,df_e1,2021.1.2,59.64071811118861,
bear,bear1.jpg,49 x 43 =,,,,,0,6,6,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1222,df_e1,2021.1.2,59.64071811118861,
leaves,leaves1.jpg,87 x 7 =,,,,,0,7,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1222,df_e1,2021.1.2,59.64071811118861,
strawberries,strawberries4.jpg,14 x 38 =,,,,,0,8,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1222,df_e1,2021.1.2,59.64071811118861,
carrots,carrots1.jpg,44 x 4 =,,,,,0,9,9,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Mar_08_1222,df_e1,2021.1.2,59.64071811118861,
